2025-07-05 23:51:21,266 | INFO | __main__ | Starting crawl stage
2025-07-05 23:51:21,555 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/recent_review_links?select=link%2Cpost_date "HTTP/2 200 OK"
2025-07-05 23:51:21,561 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com
2025-07-05 23:51:21,680 | INFO | crawler.sources.baradwajrangan_links | Page 1 attempt 1 length=197714
2025-07-05 23:51:21,719 | INFO | crawler.sources.baradwajrangan_links | Skipping known link: https://baradwajrangan.wordpress.com/2025/07/05/readers-write-in-824-love-actually/
2025-07-05 23:51:21,720 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/2/
2025-07-05 23:51:21,748 | INFO | crawler.sources.baradwajrangan_links | Page 2 attempt 1 length=211061
2025-07-05 23:51:21,777 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/3/
2025-07-05 23:51:21,807 | INFO | crawler.sources.baradwajrangan_links | Page 3 attempt 1 length=215868
2025-07-05 23:51:21,837 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/4/
2025-07-05 23:51:21,862 | INFO | crawler.sources.baradwajrangan_links | Page 4 attempt 1 length=211955
2025-07-05 23:51:21,887 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/5/
2025-07-05 23:51:21,909 | INFO | crawler.sources.baradwajrangan_links | Page 5 attempt 1 length=212321
2025-07-05 23:51:21,932 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/6/
2025-07-05 23:51:21,954 | INFO | crawler.sources.baradwajrangan_links | Page 6 attempt 1 length=211431
2025-07-05 23:51:21,979 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/7/
2025-07-05 23:51:21,999 | INFO | crawler.sources.baradwajrangan_links | Page 7 attempt 1 length=212227
2025-07-05 23:51:22,022 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/8/
2025-07-05 23:51:22,041 | INFO | crawler.sources.baradwajrangan_links | Page 8 attempt 1 length=210530
2025-07-05 23:51:22,065 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/9/
