2025-07-05 23:27:22,972 | INFO | step_4_link_movies | Linking movies for 11 reviews
2025-07-05 23:27:24,259 | INFO | step_4_link_movies | Linked review ff795268-789d-4269-81e0-8cadfdebb804 -> movie Ariyippu
2025-07-05 23:27:25,048 | INFO | step_4_link_movies | Linked review 03de6d58-1100-467a-ade1-c94722e854ae -> movie Avatar 2: The Way of Water
2025-07-05 23:27:25,740 | INFO | step_4_link_movies | Linked review b3dbe569-dd1f-4e28-8333-0392f0152c0c -> movie Witness
2025-07-05 23:27:26,714 | INFO | step_4_link_movies | Linked review 081be490-5fcd-4376-bdfa-bd16c5ec691b -> movie The Teacher
2025-07-05 23:27:27,504 | INFO | step_4_link_movies | Linked review 9dd04de8-1b29-43f2-af7b-49a99373e01e -> movie Hadinelentu (Seventeeners)
2025-07-05 23:27:28,354 | INFO | step_4_link_movies | Linked review 90f86882-9135-4489-bbf7-18e0f0498d72 -> movie Dostojee
2025-07-05 23:27:29,392 | INFO | step_4_link_movies | Linked review 19bebe57-0cf1-456a-b6ac-5b30537ba182 -> movie Cirkus
2025-07-05 23:27:30,116 | INFO | step_4_link_movies | Linked review dcf7487c-0a78-4984-bf76-afcc456a7429 -> movie Connect
2025-07-05 23:27:30,983 | INFO | step_4_link_movies | Linked review 7f4ef912-9557-4c17-bba0-74d43e993a61 -> movie Qala
2025-07-05 23:27:31,573 | INFO | step_4_link_movies | Linked review 787c37fe-81d6-425f-bddd-a02b86ff2e7d -> movie Gold
2025-07-05 23:27:32,408 | INFO | step_4_link_movies | Linked review c2037ee8-aea8-4d57-8ba6-9d318372ef7f -> movie Sree Dhanya Catering Service
2025-07-05 23:35:30,297 | INFO | step_4_link_movies | Linking movies for 0 reviews
2025-07-05 23:38:04,781 | INFO | step_4_link_movies | Linking movies for 0 reviews
2025-07-05 23:40:27,615 | INFO | step_4_link_movies | Linking movies for 0 reviews
2025-07-05 23:43:32,128 | INFO | step_4_link_movies | Linking movies for 0 reviews
2025-07-05 23:46:35,125 | INFO | step_4_link_movies | Linking movies for 0 reviews
2025-07-05 23:51:35,924 | INFO | step_4_link_movies | Linking movies for 0 reviews
