2025-07-05 23:28:39,804 | INFO | step_6_enrich_metadata | Enriching metadata for 133 movies
2025-07-05 23:28:40,043 | WARNING | step_6_enrich_metadata | No metadata found for Veeram / Jilla
2025-07-05 23:28:40,154 | WARNING | step_6_enrich_metadata | No metadata found for Kalki, Thanneer Mathan Dinangal
2025-07-05 23:28:40,265 | WARNING | step_6_enrich_metadata | No metadata found for Pyaar Impossible / Dulha Mil Gaya
2025-07-05 23:28:40,503 | INFO | step_6_enrich_metadata | Updated metadata for Namadhu
2025-07-05 23:28:40,615 | WARNING | step_6_enrich_metadata | No metadata found for Deconstructing Woody
2025-07-05 23:28:40,779 | WARNING | step_6_enrich_metadata | No metadata found for The Woman Who Ran, Suk Suk, The Roads Not Taken
2025-07-05 23:28:40,880 | WARNING | step_6_enrich_metadata | No metadata found for Kettiyolaanu Ente Malakha
2025-07-05 23:28:40,982 | WARNING | step_6_enrich_metadata | No metadata found for Kannil Mazhai
2025-07-05 23:28:41,086 | WARNING | step_6_enrich_metadata | No metadata found for Om Shanti Om
Saawariya
2025-07-05 23:28:41,200 | WARNING | step_6_enrich_metadata | No metadata found for 10 Enradhukulla
2025-07-05 23:28:41,354 | WARNING | step_6_enrich_metadata | No metadata found for U Me Aur Hum, Krazzy 4
2025-07-05 23:28:41,462 | WARNING | step_6_enrich_metadata | No metadata found for Moondru Per Moondru Kadal
2025-07-05 23:28:41,565 | WARNING | step_6_enrich_metadata | No metadata found for Neethane En Ponvasantham
2025-07-05 23:28:41,769 | INFO | step_6_enrich_metadata | Updated metadata for Qala
2025-07-05 23:28:41,878 | WARNING | step_6_enrich_metadata | No metadata found for Kalakalappu @ Masala Café
2025-07-05 23:28:42,031 | WARNING | step_6_enrich_metadata | No metadata found for One Hundred Years of Solitude
2025-07-05 23:28:42,134 | WARNING | step_6_enrich_metadata | No metadata found for As I’m Suffering from Mixed Feelings
2025-07-05 23:28:42,235 | WARNING | step_6_enrich_metadata | No metadata found for Thelivuppathaiyin Neesa Thooram (TNT)
2025-07-05 23:28:42,342 | WARNING | step_6_enrich_metadata | No metadata found for Kallachirippu
2025-07-05 23:28:42,438 | WARNING | step_6_enrich_metadata | No metadata found for Ameerin Aadhi Baghavan
2025-07-05 23:28:42,597 | WARNING | step_6_enrich_metadata | No metadata found for Kyaa Kool Hain Hum 3 / Mastizaade
2025-07-05 23:28:42,695 | WARNING | step_6_enrich_metadata | No metadata found for Into the Mouth of Madness
2025-07-05 23:28:42,799 | WARNING | step_6_enrich_metadata | No metadata found for Kadhal Parisu
2025-07-05 23:28:42,906 | WARNING | step_6_enrich_metadata | No metadata found for "What a Crock of Sith!"
2025-07-05 23:28:43,007 | WARNING | step_6_enrich_metadata | No metadata found for Contract / Kismat Konnection
2025-07-05 23:28:43,176 | WARNING | step_6_enrich_metadata | No metadata found for Cruel Tale of Bushido
2025-07-05 23:28:43,284 | WARNING | step_6_enrich_metadata | No metadata found for Aaha Kaadhal
2025-07-05 23:28:43,386 | WARNING | step_6_enrich_metadata | No metadata found for Thugs of Hindostan, 2.0
2025-07-05 23:28:43,484 | WARNING | step_6_enrich_metadata | No metadata found for Arre O Sambar
2025-07-05 23:28:43,578 | WARNING | step_6_enrich_metadata | No metadata found for Sufiyum Sujathayum
2025-07-05 23:28:43,741 | WARNING | step_6_enrich_metadata | No metadata found for Dada, OK Kanmani, VTK, Sarpatta Parambara, Anbe Sivam
2025-07-05 23:28:43,861 | WARNING | step_6_enrich_metadata | No metadata found for A view to a reevaluation
2025-07-05 23:28:43,984 | WARNING | step_6_enrich_metadata | No metadata found for Every Shankar film
2025-07-05 23:28:44,096 | WARNING | step_6_enrich_metadata | No metadata found for Sadiyaan / Tum Milo Toh Sahi
2025-07-05 23:28:44,198 | WARNING | step_6_enrich_metadata | No metadata found for Rann / Ishqiya
2025-07-05 23:28:44,375 | WARNING | step_6_enrich_metadata | No metadata found for Dial M for Master
2025-07-05 23:28:44,486 | WARNING | step_6_enrich_metadata | No metadata found for Indiana Shining
2025-07-05 23:28:44,589 | WARNING | step_6_enrich_metadata | No metadata found for O Kaadhal Kanmani
2025-07-05 23:28:44,688 | WARNING | step_6_enrich_metadata | No metadata found for The Heartbreak Kid / Enchanted / December Boys
2025-07-05 23:28:44,791 | WARNING | step_6_enrich_metadata | No metadata found for The movie being reviewed is "The Godfather".
2025-07-05 23:28:45,051 | INFO | step_6_enrich_metadata | Updated metadata for Mrs. America
2025-07-05 23:28:45,149 | WARNING | step_6_enrich_metadata | No metadata found for Mafia Mahabharata
2025-07-05 23:28:45,251 | WARNING | step_6_enrich_metadata | No metadata found for The curious case of Kurosawa vs. Leone
2025-07-05 23:28:45,353 | WARNING | step_6_enrich_metadata | No metadata found for Karthik Dial Seydha Yenn
2025-07-05 23:28:45,584 | INFO | step_6_enrich_metadata | Updated metadata for Sree Dhanya Catering Service
2025-07-05 23:28:45,692 | WARNING | step_6_enrich_metadata | No metadata found for "A super superhero movie"
2025-07-05 23:28:45,822 | WARNING | step_6_enrich_metadata | No metadata found for The reinvention of a K-k-k-khan
2025-07-05 23:28:45,947 | WARNING | step_6_enrich_metadata | No metadata found for Every Mani Ratnam film
2025-07-05 23:28:46,044 | WARNING | step_6_enrich_metadata | No metadata found for Masakali 2.0
2025-07-05 23:28:46,149 | WARNING | step_6_enrich_metadata | No metadata found for Poar Kaithigal
2025-07-05 23:28:46,245 | WARNING | step_6_enrich_metadata | No metadata found for Tees Maar Khan / Toonpur Ka Superrhero
2025-07-05 23:28:46,424 | WARNING | step_6_enrich_metadata | No metadata found for Laaga Chunari Mein Daag / Bhool Bhulaiyaa
2025-07-05 23:28:46,526 | WARNING | step_6_enrich_metadata | No metadata found for A Dinosaur Roams Again
2025-07-05 23:28:46,627 | WARNING | step_6_enrich_metadata | No metadata found for Thuppakki, Iruvar, Dil Se, Roja
2025-07-05 23:28:46,730 | WARNING | step_6_enrich_metadata | No metadata found for The Dinner from Hell
2025-07-05 23:28:46,840 | WARNING | step_6_enrich_metadata | No metadata found for Velainnu Vanthutta Vellakaran
2025-07-05 23:28:47,000 | WARNING | step_6_enrich_metadata | No metadata found for Chase / Housefull
2025-07-05 23:28:47,100 | WARNING | step_6_enrich_metadata | No metadata found for "A road movie about roots"
2025-07-05 23:28:47,205 | WARNING | step_6_enrich_metadata | No metadata found for Once Upon Ay Time In Mumbai Dobaara
2025-07-05 23:28:47,318 | WARNING | step_6_enrich_metadata | No metadata found for De Taali / Haal-e-Dil
2025-07-05 23:28:47,535 | INFO | step_6_enrich_metadata | Updated metadata for Ariyippu
2025-07-05 23:28:47,782 | WARNING | step_6_enrich_metadata | No metadata found for Dilemma: Some Adults Story
2025-07-05 23:28:47,888 | WARNING | step_6_enrich_metadata | No metadata found for Uri – The Surgical Strike, Kumbalangi Nights
2025-07-05 23:28:47,996 | WARNING | step_6_enrich_metadata | No metadata found for Little Fires Everywhere
2025-07-05 23:28:48,093 | WARNING | step_6_enrich_metadata | No metadata found for Ithu Kathirvelan Kadhal
2025-07-05 23:28:48,292 | INFO | step_6_enrich_metadata | Updated metadata for Connect
2025-07-05 23:28:48,457 | WARNING | step_6_enrich_metadata | No metadata found for Stupor Men
2025-07-05 23:28:48,557 | WARNING | step_6_enrich_metadata | No metadata found for Five iconic movies of ‘Victory’ Venkatesh
2025-07-05 23:28:48,676 | WARNING | step_6_enrich_metadata | No metadata found for Paava Kadhaigal
2025-07-05 23:28:48,778 | WARNING | step_6_enrich_metadata | No metadata found for The curious case of a buttoned-down
2025-07-05 23:28:48,981 | INFO | step_6_enrich_metadata | Updated metadata for Cirkus
2025-07-05 23:28:49,261 | INFO | step_6_enrich_metadata | Updated metadata for Teddy Bear
2025-07-05 23:28:49,363 | WARNING | step_6_enrich_metadata | No metadata found for Muthina Kathirikka
2025-07-05 23:28:49,471 | WARNING | step_6_enrich_metadata | No metadata found for Sapta Saagaradaache Ello - Side B
2025-07-05 23:28:49,580 | WARNING | step_6_enrich_metadata | No metadata found for Siberia, Welcome to Chechnya, My Little Sister
2025-07-05 23:28:49,701 | WARNING | step_6_enrich_metadata | No metadata found for Uthiri Pookkal
2025-07-05 23:28:49,867 | WARNING | step_6_enrich_metadata | No metadata found for Kolamaavu Kokila
2025-07-05 23:28:50,042 | WARNING | step_6_enrich_metadata | No metadata found for Kayamai Kadakka
2025-07-05 23:28:50,144 | WARNING | step_6_enrich_metadata | No metadata found for Pichaikaaran
2025-07-05 23:28:50,245 | WARNING | step_6_enrich_metadata | No metadata found for Pitta Kathalu
2025-07-05 23:28:50,345 | WARNING | step_6_enrich_metadata | No metadata found for Heeramandi
2025-07-05 23:28:50,513 | WARNING | step_6_enrich_metadata | No metadata found for Man Madan Ambu
2025-07-05 23:28:50,626 | WARNING | step_6_enrich_metadata | No metadata found for Tharamani
2025-07-05 23:28:50,736 | WARNING | step_6_enrich_metadata | No metadata found for Kadhalil Sodhappuvadhu Eppidi
2025-07-05 23:28:50,840 | WARNING | step_6_enrich_metadata | No metadata found for Modern Love Chennai
2025-07-05 23:28:50,956 | WARNING | step_6_enrich_metadata | No metadata found for Ajith’s film
2025-07-05 23:28:51,134 | WARNING | step_6_enrich_metadata | No metadata found for Once Upon a Time in the Fest
2025-07-05 23:28:51,238 | WARNING | step_6_enrich_metadata | No metadata found for Summer 2007 / Mere Baap Pehle Aap
2025-07-05 23:28:51,359 | WARNING | step_6_enrich_metadata | No metadata found for The French Disconnection
2025-07-05 23:28:51,457 | WARNING | step_6_enrich_metadata | No metadata found for Gangs of Wasseypur II
2025-07-05 23:28:51,558 | WARNING | step_6_enrich_metadata | No metadata found for Putham Pudhu Kaalai Vidiyaadha
2025-07-05 23:28:51,717 | WARNING | step_6_enrich_metadata | No metadata found for Sapta Saagaradaache Ello - Side A
2025-07-05 23:28:51,830 | WARNING | step_6_enrich_metadata | No metadata found for Well Done Abba / Hum Tum Aur Ghost
2025-07-05 23:28:51,943 | WARNING | step_6_enrich_metadata | No metadata found for Madras Male
2025-07-05 23:28:52,046 | WARNING | step_6_enrich_metadata | No metadata found for Goodnight Giggles
2025-07-05 23:28:52,144 | WARNING | step_6_enrich_metadata | No metadata found for Kudi Yedamaithe
2025-07-05 23:28:52,307 | WARNING | step_6_enrich_metadata | No metadata found for Engitta Modhathey
2025-07-05 23:28:52,413 | WARNING | step_6_enrich_metadata | No metadata found for Prophet of Mood
2025-07-05 23:28:52,623 | INFO | step_6_enrich_metadata | Updated metadata for Avatar 2: The Way of Water
2025-07-05 23:28:52,733 | WARNING | step_6_enrich_metadata | No metadata found for That Four Letter Word
2025-07-05 23:28:52,960 | INFO | step_6_enrich_metadata | Updated metadata for Hadinelentu (Seventeeners)
2025-07-05 23:28:53,101 | WARNING | step_6_enrich_metadata | No metadata found for PotC-On Stranger Tides
2025-07-05 23:28:53,242 | WARNING | step_6_enrich_metadata | No metadata found for Kaaviyathalaivan
2025-07-05 23:28:53,349 | WARNING | step_6_enrich_metadata | No metadata found for Ullangai Nellikkani
2025-07-05 23:28:53,458 | WARNING | step_6_enrich_metadata | No metadata found for Kaun Kitne Paani Mein
2025-07-05 23:28:53,677 | INFO | step_6_enrich_metadata | Updated metadata for Dostojee
2025-07-05 23:28:53,778 | WARNING | step_6_enrich_metadata | No metadata found for Chennai Ungalai Anbudan Varaverkirathu
2025-07-05 23:28:53,926 | WARNING | step_6_enrich_metadata | No metadata found for KGF: Chapter Two
2025-07-05 23:28:54,029 | WARNING | step_6_enrich_metadata | No metadata found for No Country for Young Women
2025-07-05 23:28:54,136 | WARNING | step_6_enrich_metadata | No metadata found for Payanam / Nadunisi Naaigal
2025-07-05 23:28:54,250 | WARNING | step_6_enrich_metadata | No metadata found for Khoya Khoya Chand / Dus Kahaniyaan
2025-07-05 23:28:54,357 | WARNING | step_6_enrich_metadata | No metadata found for Balle Vellaiya Thevaa
2025-07-05 23:28:54,670 | WARNING | step_6_enrich_metadata | No metadata found for "A Serious Superman" -> Superman
2025-07-05 23:28:54,776 | WARNING | step_6_enrich_metadata | No metadata found for Moebius
Pietà
2025-07-05 23:28:54,885 | WARNING | step_6_enrich_metadata | No metadata found for The Cage at the Top
2025-07-05 23:28:55,010 | WARNING | step_6_enrich_metadata | No metadata found for Right Yaaa Wrong / Na Ghar Ke Na Ghaat Ke
2025-07-05 23:28:55,236 | INFO | step_6_enrich_metadata | Updated metadata for Guruvayoor Ambalanadayil
2025-07-05 23:28:55,415 | WARNING | step_6_enrich_metadata | No metadata found for The Rahman Effect
2025-07-05 23:28:55,520 | WARNING | step_6_enrich_metadata | No metadata found for The other Miss Koovagam
2025-07-05 23:28:55,630 | WARNING | step_6_enrich_metadata | No metadata found for Sthanarthi Sreekkuttan
2025-07-05 23:28:55,737 | WARNING | step_6_enrich_metadata | No metadata found for Vinnai Thaandi Varuvaaya
2025-07-05 23:28:55,848 | WARNING | step_6_enrich_metadata | No metadata found for Godhi Banna Sadharna Mykattu
2025-07-05 23:28:56,005 | WARNING | step_6_enrich_metadata | No metadata found for The Intolerable Likeness of Being
2025-07-05 23:28:56,113 | WARNING | step_6_enrich_metadata | No metadata found for The abyss of passion
2025-07-05 23:28:56,332 | INFO | step_6_enrich_metadata | Updated metadata for The Teacher
2025-07-05 23:28:56,432 | WARNING | step_6_enrich_metadata | No metadata found for Neruppuda
2025-07-05 23:28:56,546 | WARNING | step_6_enrich_metadata | No metadata found for The Invasion / Vacancy
2025-07-05 23:28:56,752 | WARNING | step_6_enrich_metadata | No metadata found for The Sisters Brothers, Charlie Says, La Quietud
2025-07-05 23:28:56,868 | WARNING | step_6_enrich_metadata | No metadata found for Addham
2025-07-05 23:28:56,974 | WARNING | step_6_enrich_metadata | No metadata found for The old man and the hill
2025-07-05 23:28:57,226 | INFO | step_6_enrich_metadata | Updated metadata for Drishyam
2025-07-05 23:28:57,425 | INFO | step_6_enrich_metadata | Updated metadata for Witness
2025-07-05 23:28:57,580 | WARNING | step_6_enrich_metadata | No metadata found for Kankaanikkum Maranam
2025-07-05 23:28:57,693 | INFO | step_6_enrich_metadata | Metadata enrichment complete
2025-07-05 23:36:31,297 | INFO | step_6_enrich_metadata | Enriching metadata for 123 movies
2025-07-05 23:36:31,384 | WARNING | step_6_enrich_metadata | No metadata found for Kalki, Thanneer Mathan Dinangal
2025-07-05 23:36:31,493 | WARNING | step_6_enrich_metadata | No metadata found for Deconstructing Woody
2025-07-05 23:36:31,717 | INFO | step_6_enrich_metadata | Updated metadata for Namadhu
2025-07-05 23:36:31,829 | WARNING | step_6_enrich_metadata | No metadata found for Veeram / Jilla
2025-07-05 23:36:31,942 | WARNING | step_6_enrich_metadata | No metadata found for Pyaar Impossible / Dulha Mil Gaya
2025-07-05 23:36:32,103 | WARNING | step_6_enrich_metadata | No metadata found for 10 Enradhukulla
2025-07-05 23:36:32,206 | WARNING | step_6_enrich_metadata | No metadata found for Kettiyolaanu Ente Malakha
2025-07-05 23:36:32,319 | WARNING | step_6_enrich_metadata | No metadata found for The Woman Who Ran, Suk Suk, The Roads Not Taken
2025-07-05 23:36:32,449 | WARNING | step_6_enrich_metadata | No metadata found for Kannil Mazhai
2025-07-05 23:36:32,581 | WARNING | step_6_enrich_metadata | No metadata found for Om Shanti Om
Saawariya
2025-07-05 23:36:32,772 | WARNING | step_6_enrich_metadata | No metadata found for One Hundred Years of Solitude
2025-07-05 23:36:32,890 | WARNING | step_6_enrich_metadata | No metadata found for U Me Aur Hum, Krazzy 4
2025-07-05 23:36:32,994 | WARNING | step_6_enrich_metadata | No metadata found for Kalakalappu @ Masala Café
2025-07-05 23:36:33,180 | WARNING | step_6_enrich_metadata | No metadata found for Moondru Per Moondru Kadal
2025-07-05 23:36:33,276 | WARNING | step_6_enrich_metadata | No metadata found for Neethane En Ponvasantham
2025-07-05 23:36:33,443 | WARNING | step_6_enrich_metadata | No metadata found for Kallachirippu
2025-07-05 23:36:33,554 | WARNING | step_6_enrich_metadata | No metadata found for Ameerin Aadhi Baghavan
2025-07-05 23:36:33,658 | WARNING | step_6_enrich_metadata | No metadata found for Kyaa Kool Hain Hum 3 / Mastizaade
2025-07-05 23:36:33,768 | WARNING | step_6_enrich_metadata | No metadata found for Thelivuppathaiyin Neesa Thooram (TNT)
2025-07-05 23:36:33,885 | WARNING | step_6_enrich_metadata | No metadata found for As I’m Suffering from Mixed Feelings
2025-07-05 23:36:34,073 | WARNING | step_6_enrich_metadata | No metadata found for Contract / Kismat Konnection
2025-07-05 23:36:34,176 | WARNING | step_6_enrich_metadata | No metadata found for Kadhal Parisu
2025-07-05 23:36:34,297 | WARNING | step_6_enrich_metadata | No metadata found for Into the Mouth of Madness
2025-07-05 23:36:34,405 | WARNING | step_6_enrich_metadata | No metadata found for Thugs of Hindostan, 2.0
2025-07-05 23:36:34,533 | WARNING | step_6_enrich_metadata | No metadata found for "What a Crock of Sith!"
2025-07-05 23:36:34,687 | WARNING | step_6_enrich_metadata | No metadata found for Cruel Tale of Bushido
2025-07-05 23:36:34,799 | WARNING | step_6_enrich_metadata | No metadata found for Dada, OK Kanmani, VTK, Sarpatta Parambara, Anbe Sivam
2025-07-05 23:36:34,903 | WARNING | step_6_enrich_metadata | No metadata found for Arre O Sambar
2025-07-05 23:36:35,000 | WARNING | step_6_enrich_metadata | No metadata found for Sufiyum Sujathayum
2025-07-05 23:36:35,101 | WARNING | step_6_enrich_metadata | No metadata found for Aaha Kaadhal
2025-07-05 23:36:35,276 | WARNING | step_6_enrich_metadata | No metadata found for Every Shankar film
2025-07-05 23:36:35,383 | WARNING | step_6_enrich_metadata | No metadata found for Dial M for Master
2025-07-05 23:36:35,492 | WARNING | step_6_enrich_metadata | No metadata found for A view to a reevaluation
2025-07-05 23:36:35,600 | WARNING | step_6_enrich_metadata | No metadata found for Rann / Ishqiya
2025-07-05 23:36:35,733 | WARNING | step_6_enrich_metadata | No metadata found for Sadiyaan / Tum Milo Toh Sahi
2025-07-05 23:36:35,899 | WARNING | step_6_enrich_metadata | No metadata found for The Heartbreak Kid / Enchanted / December Boys
2025-07-05 23:36:36,119 | INFO | step_6_enrich_metadata | Updated metadata for Mrs. America
2025-07-05 23:36:36,226 | WARNING | step_6_enrich_metadata | No metadata found for Indiana Shining
2025-07-05 23:36:36,327 | WARNING | step_6_enrich_metadata | No metadata found for The movie being reviewed is "The Godfather".
2025-07-05 23:36:36,442 | WARNING | step_6_enrich_metadata | No metadata found for O Kaadhal Kanmani
2025-07-05 23:36:36,612 | WARNING | step_6_enrich_metadata | No metadata found for Karthik Dial Seydha Yenn
2025-07-05 23:36:36,718 | WARNING | step_6_enrich_metadata | No metadata found for The reinvention of a K-k-k-khan
2025-07-05 23:36:36,821 | WARNING | step_6_enrich_metadata | No metadata found for "A super superhero movie"
